loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
100000102115,C,"CITIMORTGAGE, INC.",4.5,95000,120,02/2005,04/2005,51,51,2,25,783,N,R,SF,1,P,TX,750,,FRM,783,,N,1
100001329224,B,"BANK OF AMERICA, N.A.",5.875,141000,360,12/2004,02/2005,78,78,2,,691,N,R,SF,1,P,IL,606,,FRM,733,,N,1
100004036273,C,"BANK OF AMERICA, N.A.",6.625,139000,360,01/2005,03/2005,95,95,1,53,755,N,P,SF,1,S,FL,349,30,FRM,,1,N,1
100004945019,R,"BANK OF AMERICA, N.A.",5.875,104000,360,12/2004,02/2005,68,68,1,31,689,N,R,PU,1,P,SC,295,,FRM,,,N,1
100013634177,C,"CITIMORTGAGE, INC.",6.25,51000,240,12/2004,02/2005,69,69,1,35,788,N,C,SF,1,P,WI,544,,FRM,,,N,1
100014052527,C,OTHER,5.625,60000,240,12/2004,02/2005,75,75,1,31,700,N,C,SF,1,P,IN,479,,FRM,,,N,1
100014432938,R,"BANK OF AMERICA, N.A.",6.375,54000,360,11/2004,01/2005,75,75,2,54,787,N,R,SF,4,I,IN,462,,FRM,790,,N,1
100018354907,R,"JPMORGAN CHASE BANK, NA",5.25,85000,180,02/2005,04/2005,44,44,1,21,682,N,C,SF,1,P,WA,983,,FRM,,,N,1
100018573876,R,"WELLS FARGO BANK, N.A.",5.875,165000,360,02/2005,04/2005,59,59,2,38,710,N,C,SF,1,P,NJ,87,,FRM,733,,N,1
100020383977,C,SUNTRUST MORTGAGE INC.,6.375,164000,360,10/2004,12/2004,80,80,2,52,759,N,C,SF,1,P,CA,925,,FRM,759,,N,1
100026722670,R,"WELLS FARGO BANK, N.A.",5.5,134000,360,12/2004,02/2005,80,85,1,49,787,N,C,PU,1,P,FL,330,,FRM,,,N,1
100027499541,R,OTHER,6.125,57000,360,02/2005,04/2005,11,11,2,10,779,N,C,SF,1,P,CA,945,,FRM,,,N,1
