loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00180466918E11,C,AMTRUST BANK,5.75,197000.0,360.0,01/2005,03/2005,79.0,79.0,2.0,36.0,672.0,N,R,SF,1.0,P,TX,760.0,,FRM,662.0,,N,1.0
1.00414404352E11,C,AMTRUST BANK,6.0,334000.0,360.0,11/2004,01/2005,84.0,84.0,2.0,39.0,700.0,N,P,SF,1.0,P,MI,484.0,12.0,FRM,711.0,1.0,N,1.0
1.00427031672E11,C,AMTRUST BANK,5.875,148000.0,360.0,01/2005,03/2005,56.0,56.0,1.0,32.0,782.0,N,C,SF,1.0,P,MN,554.0,,FRM,,,N,1.0
1.00569987477E11,C,AMTRUST BANK,5.75,427000.0,360.0,01/2005,03/2005,80.0,80.0,1.0,41.0,800.0,N,P,SF,2.0,P,MA,21.0,,FRM,,,N,1.0
1.00733891753E11,C,AMTRUST BANK,6.375,53000.0,360.0,01/2005,03/2005,84.0,84.0,1.0,27.0,802.0,N,C,SF,1.0,P,AR,722.0,12.0,FRM,,1.0,N,1.0
1.00756123183E11,C,AMTRUST BANK,5.875,97000.0,240.0,01/2005,03/2005,65.0,65.0,2.0,53.0,728.0,N,C,MH,1.0,P,OR,973.0,,FRM,703.0,,N,1.0
1.00888326483E11,C,AMTRUST BANK,6.0,124000.0,360.0,11/2004,01/2005,75.0,75.0,2.0,55.0,745.0,N,C,SF,1.0,P,MD,215.0,,FRM,785.0,,N,1.0
1.00962566733E11,C,AMTRUST BANK,5.75,168000.0,360.0,12/2004,02/2005,80.0,80.0,2.0,45.0,726.0,N,P,PU,1.0,P,VA,232.0,,FRM,745.0,,N,1.0
1.01048691702E11,C,AMTRUST BANK,5.75,130000.0,360.0,11/2004,01/2005,62.0,83.0,2.0,43.0,798.0,Y,P,SF,1.0,P,NC,272.0,,FRM,720.0,,N,1.0
1.01183068526E11,C,AMTRUST BANK,6.5,80000.0,360.0,12/2004,02/2005,34.0,34.0,2.0,19.0,788.0,N,P,CO,1.0,P,MD,217.0,,FRM,765.0,,N,1.0
1.01229403954E11,C,AMTRUST BANK,5.875,95000.0,240.0,01/2005,03/2005,76.0,76.0,2.0,26.0,648.0,N,C,SF,1.0,P,NC,271.0,,FRM,643.0,,N,1.0
1.01240165098E11,B,AMTRUST BANK,5.25,80000.0,180.0,11/2004,01/2005,73.0,73.0,2.0,,675.0,N,C,CO,1.0,P,FL,333.0,,FRM,620.0,,N,1.0
1.01389711846E11,C,AMTRUST BANK,5.875,210000.0,360.0,11/2004,01/2005,41.0,41.0,2.0,,632.0,N,C,PU,1.0,P,CA,919.0,,FRM,639.0,,N,1.0
1.01416183273E11,R,AMTRUST BANK,5.625,111000.0,360.0,01/2005,03/2005,88.0,88.0,2.0,36.0,688.0,N,C,SF,1.0,P,OH,443.0,25.0,FRM,706.0,1.0,N,1.0
1.01773749261E11,C,AMTRUST BANK,5.0,175000.0,180.0,12/2004,02/2005,80.0,80.0,2.0,44.0,762.0,N,P,SF,1.0,P,IL,604.0,,FRM,775.0,,N,1.0
1.01879754064E11,C,AMTRUST BANK,5.875,87000.0,360.0,11/2004,01/2005,80.0,90.0,1.0,52.0,815.0,Y,P,CO,1.0,P,FL,333.0,,FRM,,,N,1.0
1.01994043029E11,C,AMTRUST BANK,5.5,149000.0,360.0,12/2004,02/2005,80.0,80.0,1.0,43.0,704.0,N,C,PU,1.0,P,CO,800.0,,FRM,,,N,1.0
1.02159857502E11,C,AMTRUST BANK,5.625,115000.0,180.0,11/2004,01/2005,25.0,25.0,2.0,29.0,739.0,N,R,SF,1.0,P,MN,553.0,,FRM,743.0,,N,1.0
1.02197677106E11,B,AMTRUST BANK,5.875,117000.0,360.0,10/2004,12/2004,47.0,47.0,2.0,21.0,675.0,N,C,SF,1.0,P,CA,923.0,,FRM,778.0,,N,1.0
1.02688935523E11,C,AMTRUST BANK,5.625,113000.0,360.0,12/2004,02/2005,70.0,70.0,2.0,20.0,790.0,N,P,SF,1.0,P,NC,283.0,,FRM,781.0,,N,1.0
1.02725380879E11,C,AMTRUST BANK,6.125,75000.0,360.0,12/2004,02/2005,36.0,36.0,2.0,23.0,787.0,N,P,SF,1.0,P,ME,40.0,,FRM,802.0,,N,1.0
1.02793914955E11,C,AMTRUST BANK,6.125,120000.0,360.0,01/2005,03/2005,75.0,75.0,2.0,42.0,798.0,N,P,MH,1.0,P,FL,342.0,,FRM,746.0,,N,1.0
1.0282938221E11,C,AMTRUST BANK,5.75,275000.0,360.0,12/2004,02/2005,85.0,85.0,2.0,38.0,681.0,N,R,SF,1.0,P,WA,982.0,12.0,FRM,669.0,1.0,N,1.0
1.03009176573E11,C,AMTRUST BANK,4.875,189000.0,180.0,12/2004,02/2005,70.0,70.0,2.0,38.0,692.0,N,C,SF,1.0,P,WI,531.0,,FRM,775.0,,N,1.0
1.03015398102E11,B,AMTRUST BANK,5.25,300000.0,180.0,12/2004,02/2005,67.0,67.0,1.0,28.0,701.0,N,C,SF,1.0,P,CA,906.0,,FRM,,,N,1.0
1.03388631827E11,C,AMTRUST BANK,5.875,161000.0,360.0,11/2004,01/2005,41.0,41.0,1.0,59.0,606.0,N,C,SF,1.0,P,CA,913.0,,FRM,,,N,1.0
1.03412920871E11,C,AMTRUST BANK,5.875,105000.0,240.0,11/2004,01/2005,89.0,89.0,2.0,,746.0,N,C,SF,1.0,P,LA,705.0,12.0,FRM,703.0,1.0,N,1.0
1.03506981208E11,C,AMTRUST BANK,6.0,41000.0,180.0,02/2005,04/2005,62.0,62.0,2.0,48.0,723.0,N,C,SF,1.0,P,PA,171.0,,FRM,650.0,,N,1.0
1.03528857112E11,C,AMTRUST BANK,5.875,88000.0,360.0,12/2004,02/2005,66.0,66.0,1.0,36.0,770.0,N,C,CO,1.0,P,CA,937.0,,FRM,,,N,1.0
1.03575302222E11,C,AMTRUST BANK,5.5,126000.0,360.0,11/2004,01/2005,87.0,87.0,2.0,30.0,665.0,N,P,SF,1.0,P,NC,285.0,25.0,FRM,676.0,1.0,N,1.0
1.03637304334E11,C,AMTRUST BANK,4.875,200000.0,180.0,10/2004,12/2004,49.0,49.0,1.0,33.0,774.0,N,P,SF,1.0,P,FL,349.0,,FRM,,,N,1.0
1.03681201223E11,C,AMTRUST BANK,5.5,312000.0,360.0,01/2005,03/2005,70.0,70.0,1.0,27.0,622.0,N,C,PU,1.0,P,MO,631.0,,FRM,,,N,1.0
1.03720868079E11,C,AMTRUST BANK,5.875,88000.0,360.0,01/2005,03/2005,78.0,78.0,2.0,44.0,641.0,N,R,SF,1.0,P,MN,550.0,,FRM,785.0,,N,1.0
1.03735283639E11,C,AMTRUST BANK,5.75,215000.0,360.0,01/2005,02/2005,79.0,79.0,1.0,47.0,748.0,N,P,CO,1.0,P,NH,32.0,,FRM,,,N,1.0
1.03819210245E11,C,AMTRUST BANK,5.375,181000.0,360.0,12/2004,02/2005,84.0,84.0,1.0,43.0,666.0,N,R,SF,1.0,P,NH,30.0,12.0,FRM,,1.0,N,1.0
1.03945793835E11,C,AMTRUST BANK,5.625,81000.0,360.0,12/2004,02/2005,39.0,39.0,1.0,21.0,803.0,N,P,PU,1.0,P,MN,554.0,,FRM,,,N,1.0
1.04146694178E11,C,AMTRUST BANK,6.0,90000.0,360.0,12/2004,02/2005,69.0,69.0,2.0,21.0,785.0,N,C,SF,1.0,P,MI,480.0,,FRM,721.0,,N,1.0
1.04182889239E11,C,AMTRUST BANK,5.625,180000.0,360.0,12/2004,02/2005,80.0,90.0,1.0,31.0,700.0,N,P,CO,1.0,P,OH,442.0,,FRM,,,N,1.0
1.04188430192E11,C,AMTRUST BANK,5.625,331000.0,240.0,10/2004,12/2004,56.0,56.0,2.0,35.0,809.0,N,R,SF,1.0,P,MA,15.0,,FRM,802.0,,N,1.0
