loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00216636674E11,C,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.875,213000.0,360.0,12/2004,02/2005,80.0,80.0,1.0,29.0,779.0,N,P,SF,1.0,P,VA,231.0,,FRM,,,N,1.0
1.00635829081E11,C,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,6.0,72000.0,360.0,12/2004,02/2005,80.0,80.0,1.0,19.0,639.0,N,C,SF,1.0,P,IN,479.0,,FRM,,,N,1.0
1.00845842578E11,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.5,136000.0,360.0,12/2004,02/2005,80.0,90.0,2.0,39.0,633.0,N,P,SF,1.0,P,NM,882.0,,FRM,639.0,,Y,1.0
1.01085735931E11,C,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.875,50000.0,360.0,02/2005,04/2005,78.0,78.0,1.0,45.0,682.0,N,R,SF,1.0,P,KY,407.0,,FRM,,,N,1.0
1.01118731127E11,B,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.875,162000.0,360.0,01/2005,03/2005,47.0,47.0,2.0,25.0,671.0,N,C,SF,1.0,P,VA,226.0,,FRM,784.0,,N,1.0
1.01136348166E11,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.43,102000.0,360.0,02/2005,04/2005,80.0,95.0,1.0,28.0,758.0,Y,P,SF,1.0,P,IN,462.0,,FRM,,,Y,1.0
1.01383469555E11,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,6.125,290000.0,360.0,08/2004,10/2004,80.0,80.0,2.0,47.0,642.0,N,C,SF,1.0,P,NY,117.0,,FRM,609.0,,N,1.0
1.01639428406E11,C,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.875,112000.0,360.0,11/2004,01/2005,80.0,80.0,1.0,29.0,748.0,N,C,SF,1.0,P,VA,238.0,,FRM,,,N,1.0
1.01864570538E11,C,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,6.375,75000.0,360.0,01/2005,03/2005,31.0,31.0,1.0,35.0,603.0,N,P,SF,1.0,P,FL,349.0,,FRM,,,N,1.0
1.02472008959E11,B,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.5,300000.0,360.0,02/2005,04/2005,74.0,74.0,2.0,20.0,692.0,N,P,CO,1.0,P,MD,208.0,,FRM,797.0,,N,1.0
1.0257518563E11,C,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.75,204000.0,360.0,12/2004,02/2005,80.0,80.0,1.0,26.0,728.0,Y,P,SF,1.0,P,FL,341.0,,FRM,,,N,1.0
1.03728146407E11,C,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.625,74000.0,360.0,12/2004,02/2005,78.0,78.0,1.0,37.0,802.0,N,R,SF,1.0,P,IA,507.0,,FRM,,,N,1.0
1.04020846621E11,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,5.8,143000.0,360.0,02/2005,04/2005,90.0,90.0,2.0,,638.0,N,P,SF,1.0,S,PA,153.0,25.0,FRM,675.0,1.0,N,1.0
