loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00113431559E11,B,"FLAGSTAR BANK, FSB",6.375,73000.0,360.0,01/2005,03/2005,80.0,80.0,1.0,41.0,722.0,N,C,SF,1.0,P,MI,492.0,,FRM,,,N,1.0
1.0011344457E11,B,"FLAGSTAR BANK, FSB",5.75,70000.0,360.0,02/2005,04/2005,72.0,72.0,2.0,34.0,699.0,N,C,SF,1.0,P,MO,656.0,,FRM,761.0,,N,1.0
1.00167305688E11,C,"FLAGSTAR BANK, FSB",6.125,180000.0,240.0,01/2005,03/2005,58.0,58.0,1.0,45.0,697.0,N,C,MH,1.0,P,CA,934.0,,FRM,,,N,1.0
1.00213557668E11,B,"FLAGSTAR BANK, FSB",5.375,122000.0,180.0,12/2004,02/2005,85.0,85.0,2.0,38.0,649.0,N,C,SF,1.0,P,MI,481.0,6.0,FRM,675.0,1.0,N,1.0
1.00259899553E11,C,"FLAGSTAR BANK, FSB",5.375,206000.0,180.0,02/2005,04/2005,53.0,53.0,1.0,50.0,709.0,N,C,SF,3.0,P,CA,900.0,,FRM,,,N,1.0
1.00288379195E11,B,"FLAGSTAR BANK, FSB",5.75,50000.0,360.0,01/2005,03/2005,95.0,95.0,1.0,39.0,768.0,N,P,SF,1.0,S,MS,390.0,30.0,FRM,,1.0,N,1.0
1.00358730711E11,C,"FLAGSTAR BANK, FSB",5.875,193000.0,360.0,02/2005,03/2005,72.0,72.0,2.0,51.0,775.0,N,C,SF,1.0,P,MA,27.0,,FRM,691.0,,N,1.0
1.00401092397E11,B,"FLAGSTAR BANK, FSB",6.25,232000.0,360.0,01/2005,03/2005,64.0,64.0,1.0,58.0,599.0,N,C,SF,1.0,P,CA,960.0,,FRM,,,N,1.0
1.00437835554E11,B,"FLAGSTAR BANK, FSB",6.125,122000.0,360.0,01/2005,03/2005,90.0,90.0,1.0,29.0,655.0,Y,P,SF,1.0,P,MI,488.0,17.0,FRM,,1.0,N,1.0
1.00482491581E11,R,"FLAGSTAR BANK, FSB",5.25,135000.0,180.0,02/2005,04/2005,65.0,65.0,2.0,24.0,703.0,N,C,SF,1.0,P,MI,497.0,,FRM,793.0,,N,1.0
1.00502017684E11,B,"FLAGSTAR BANK, FSB",6.0,178000.0,360.0,01/2005,03/2005,83.0,83.0,1.0,34.0,647.0,N,C,SF,1.0,P,OH,432.0,12.0,FRM,,1.0,N,1.0
1.00503423367E11,C,"FLAGSTAR BANK, FSB",5.875,113000.0,360.0,12/2004,02/2005,45.0,45.0,1.0,43.0,668.0,N,C,SF,1.0,P,NJ,87.0,,FRM,,,N,1.0
1.00532908139E11,B,"FLAGSTAR BANK, FSB",5.625,166000.0,360.0,02/2005,04/2005,56.0,56.0,2.0,19.0,802.0,N,R,SF,1.0,P,FL,330.0,,FRM,804.0,,N,1.0
1.00555147216E11,C,"FLAGSTAR BANK, FSB",5.75,93000.0,360.0,12/2004,02/2005,80.0,80.0,1.0,27.0,768.0,N,P,CO,1.0,P,MO,630.0,,FRM,,,N,1.0
1.00562865331E11,B,"FLAGSTAR BANK, FSB",6.125,68000.0,360.0,01/2005,03/2005,53.0,53.0,2.0,64.0,603.0,N,C,SF,1.0,P,FL,330.0,,FRM,620.0,,N,1.0
1.00725237552E11,B,"FLAGSTAR BANK, FSB",5.875,93000.0,360.0,01/2005,03/2005,33.0,33.0,1.0,29.0,683.0,N,C,SF,1.0,P,DC,200.0,,FRM,,,N,1.0
1.00807008121E11,C,"FLAGSTAR BANK, FSB",5.5,130000.0,180.0,01/2005,03/2005,50.0,50.0,1.0,34.0,596.0,N,C,SF,1.0,P,FL,331.0,,FRM,,,N,1.0
1.00838142997E11,B,"FLAGSTAR BANK, FSB",5.875,211000.0,360.0,01/2005,03/2005,60.0,60.0,1.0,28.0,660.0,N,R,SF,1.0,P,VA,221.0,,FRM,,,N,1.0
