loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00288635327E11,R,"GMAC MORTGAGE, LLC",5.875,135000.0,360.0,01/2005,02/2005,55.0,61.0,2.0,22.0,761.0,N,R,SF,1.0,P,MO,631.0,,FRM,781.0,,N,1.0
1.00330924379E11,C,"GMAC MORTGAGE, LLC",5.625,360000.0,360.0,12/2004,02/2005,55.0,55.0,1.0,18.0,701.0,N,P,SF,1.0,P,PA,189.0,,FRM,,,N,1.0
1.0037773552E11,R,"GMAC MORTGAGE, LLC",6.0,62000.0,300.0,12/2004,02/2005,56.0,56.0,2.0,24.0,,N,R,SF,1.0,P,VT,50.0,,FRM,,,N,1.0
1.00397353839E11,C,"GMAC MORTGAGE, LLC",5.875,108000.0,360.0,12/2004,02/2005,80.0,90.0,1.0,21.0,760.0,N,C,SF,1.0,P,DE,199.0,,FRM,,,N,1.0
1.00412078677E11,C,"GMAC MORTGAGE, LLC",5.75,179000.0,360.0,11/2004,01/2005,63.0,63.0,2.0,38.0,747.0,N,C,PU,1.0,P,NV,890.0,,FRM,738.0,,N,1.0
1.0041684053E11,C,"GMAC MORTGAGE, LLC",5.375,155000.0,360.0,12/2004,02/2005,55.0,55.0,1.0,22.0,784.0,N,C,SF,1.0,P,GA,305.0,,FRM,,,N,1.0
1.00524335616E11,R,"GMAC MORTGAGE, LLC",6.0,273000.0,360.0,12/2004,02/2005,70.0,70.0,1.0,24.0,772.0,N,C,SF,1.0,P,NY,103.0,,FRM,,,N,1.0
1.00573474352E11,C,"GMAC MORTGAGE, LLC",5.375,360000.0,360.0,02/2005,04/2005,69.0,80.0,2.0,31.0,719.0,N,R,SF,1.0,P,RI,28.0,,FRM,692.0,,N,1.0
1.00710284281E11,R,"GMAC MORTGAGE, LLC",5.75,280000.0,360.0,11/2004,01/2005,70.0,70.0,1.0,33.0,710.0,N,C,SF,1.0,P,CA,913.0,,FRM,,,N,1.0
1.00725231426E11,C,"GMAC MORTGAGE, LLC",5.625,240000.0,360.0,12/2004,02/2005,80.0,95.0,1.0,36.0,736.0,N,R,SF,1.0,P,MD,219.0,,FRM,,,N,1.0
1.00745236795E11,C,"GMAC MORTGAGE, LLC",5.5,310000.0,360.0,01/2005,04/2005,49.0,49.0,2.0,64.0,705.0,N,C,CO,1.0,P,HI,968.0,,FRM,707.0,,N,1.0
1.00827040151E11,R,"GMAC MORTGAGE, LLC",5.5,124000.0,180.0,01/2005,03/2005,52.0,52.0,1.0,38.0,768.0,N,C,SF,1.0,P,MN,563.0,,FRM,,,N,1.0
1.00834013588E11,R,"GMAC MORTGAGE, LLC",5.875,116000.0,180.0,01/2005,03/2005,80.0,80.0,2.0,58.0,685.0,N,C,SF,1.0,P,TX,773.0,,FRM,693.0,,N,1.0
1.00874513022E11,C,"GMAC MORTGAGE, LLC",5.875,160000.0,360.0,12/2004,02/2005,57.0,57.0,2.0,57.0,673.0,N,C,PU,1.0,P,NV,890.0,,FRM,750.0,,N,1.0
