loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00455539635E11,B,"IRWIN MORTGAGE, CORPORATION",6.0,192000.0,360.0,01/2005,03/2005,87.0,87.0,2.0,31.0,704.0,N,R,PU,1.0,P,FL,336.0,17.0,FRM,686.0,1.0,N,1.0
1.00461877741E11,R,"IRWIN MORTGAGE, CORPORATION",6.0,64000.0,240.0,01/2005,03/2005,85.0,85.0,2.0,25.0,723.0,N,R,SF,1.0,P,IN,468.0,12.0,FRM,735.0,1.0,N,1.0
1.00623903596E11,B,"IRWIN MORTGAGE, CORPORATION",6.0,94000.0,360.0,02/2005,04/2005,79.0,79.0,1.0,34.0,644.0,N,R,PU,1.0,P,TX,770.0,,FRM,,,N,1.0
1.00837587502E11,B,"IRWIN MORTGAGE, CORPORATION",6.25,120000.0,360.0,02/2005,04/2005,80.0,80.0,1.0,30.0,768.0,Y,P,SF,1.0,P,PA,194.0,,FRM,,,N,1.0
1.009299207E11,C,"IRWIN MORTGAGE, CORPORATION",5.875,92000.0,360.0,02/2005,04/2005,79.0,79.0,1.0,41.0,780.0,N,R,PU,1.0,P,IN,468.0,,FRM,,,N,1.0
1.00999330407E11,C,"IRWIN MORTGAGE, CORPORATION",5.0,225000.0,180.0,01/2005,03/2005,66.0,66.0,2.0,30.0,774.0,N,C,PU,1.0,P,MS,391.0,,FRM,790.0,,N,1.0
1.01215004726E11,B,"IRWIN MORTGAGE, CORPORATION",5.25,104000.0,360.0,02/2005,04/2005,97.0,97.0,1.0,,756.0,Y,P,SF,1.0,P,TX,760.0,18.0,FRM,,1.0,N,1.0
1.01236095839E11,B,"IRWIN MORTGAGE, CORPORATION",6.375,265000.0,360.0,12/2004,02/2005,97.0,97.0,2.0,,591.0,Y,P,PU,1.0,P,OK,730.0,35.0,FRM,716.0,1.0,N,1.0
1.01855715095E11,C,"IRWIN MORTGAGE, CORPORATION",5.625,103000.0,360.0,11/2004,01/2005,88.0,88.0,2.0,64.0,734.0,N,R,SF,1.0,P,AR,720.0,17.0,FRM,708.0,1.0,N,1.0
1.01908798996E11,C,"IRWIN MORTGAGE, CORPORATION",6.0,37000.0,240.0,12/2004,02/2005,65.0,65.0,1.0,34.0,673.0,N,C,SF,1.0,P,AR,729.0,,FRM,,,N,1.0
1.01922650828E11,C,"IRWIN MORTGAGE, CORPORATION",5.125,200000.0,180.0,01/2005,03/2005,71.0,71.0,1.0,22.0,794.0,N,C,SF,1.0,P,OK,741.0,,FRM,,,N,1.0
1.02166460898E11,B,"IRWIN MORTGAGE, CORPORATION",5.75,55000.0,180.0,11/2004,01/2005,48.0,48.0,1.0,45.0,677.0,N,R,SF,1.0,P,IN,460.0,,FRM,,,N,1.0
1.02183041178E11,C,"IRWIN MORTGAGE, CORPORATION",5.375,225000.0,180.0,01/2005,03/2005,41.0,41.0,2.0,40.0,697.0,N,C,SF,1.0,P,IL,600.0,,FRM,733.0,,N,1.0
1.02262581357E11,C,"IRWIN MORTGAGE, CORPORATION",5.625,232000.0,360.0,01/2005,03/2005,80.0,80.0,3.0,64.0,731.0,Y,P,PU,1.0,P,OK,740.0,,FRM,731.0,,N,1.0
1.02332858443E11,C,"IRWIN MORTGAGE, CORPORATION",4.875,91000.0,180.0,03/2005,05/2005,58.0,58.0,2.0,27.0,774.0,N,C,SF,1.0,P,AR,720.0,,FRM,770.0,,N,1.0
1.02492128751E11,C,"IRWIN MORTGAGE, CORPORATION",6.0,44000.0,360.0,11/2004,01/2005,80.0,80.0,1.0,14.0,784.0,N,P,SF,1.0,I,NE,680.0,,FRM,,,N,1.0
1.02715516766E11,R,"IRWIN MORTGAGE, CORPORATION",5.125,55000.0,180.0,12/2004,02/2005,85.0,85.0,2.0,19.0,768.0,Y,P,SF,1.0,P,VA,241.0,6.0,FRM,,1.0,N,1.0
1.02720257134E11,B,"IRWIN MORTGAGE, CORPORATION",5.75,75000.0,360.0,02/2005,04/2005,37.0,37.0,1.0,35.0,814.0,N,C,SF,1.0,P,MT,599.0,,FRM,,,N,1.0
1.02974580779E11,R,"IRWIN MORTGAGE, CORPORATION",5.75,180000.0,360.0,01/2005,03/2005,80.0,80.0,2.0,60.0,694.0,N,C,SF,1.0,P,VA,234.0,,FRM,696.0,,N,1.0
1.0297955185E11,B,"IRWIN MORTGAGE, CORPORATION",5.625,180000.0,360.0,02/2005,04/2005,74.0,74.0,2.0,32.0,641.0,N,C,PU,1.0,P,MT,599.0,,FRM,639.0,,N,1.0
1.0304663355E11,C,"IRWIN MORTGAGE, CORPORATION",5.75,200000.0,360.0,02/2005,04/2005,68.0,68.0,1.0,36.0,751.0,N,C,SF,1.0,P,NV,891.0,,FRM,,,N,1.0
1.03058615598E11,R,"IRWIN MORTGAGE, CORPORATION",6.375,61000.0,360.0,01/2005,03/2005,90.0,90.0,2.0,45.0,781.0,N,P,SF,1.0,I,WY,820.0,25.0,FRM,755.0,1.0,N,1.0
1.03196672488E11,R,"IRWIN MORTGAGE, CORPORATION",5.875,145000.0,360.0,12/2004,02/2005,86.0,86.0,1.0,39.0,597.0,N,R,PU,1.0,P,TX,770.0,17.0,FRM,,1.0,N,1.0
1.03197890467E11,C,"IRWIN MORTGAGE, CORPORATION",5.875,289000.0,360.0,12/2004,02/2005,65.0,65.0,2.0,,680.0,N,C,PU,1.0,P,NV,891.0,,FRM,771.0,,N,1.0
