loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00014052527E11,C,OTHER,5.625,60000.0,240.0,12/2004,02/2005,75.0,75.0,1.0,31.0,700.0,N,C,SF,1.0,P,IN,479.0,,FRM,,,N,1.0
1.00067614521E11,B,OTHER,4.875,310000.0,180.0,01/2005,03/2005,64.0,74.0,2.0,23.0,702.0,N,R,SF,1.0,P,NJ,88.0,,FRM,675.0,,N,1.0
1.00152254639E11,C,OTHER,5.875,64000.0,360.0,02/2005,04/2005,80.0,80.0,1.0,23.0,658.0,N,C,SF,1.0,P,WI,549.0,,FRM,,,N,1.0
1.00212192483E11,B,OTHER,4.875,147000.0,180.0,01/2005,03/2005,72.0,72.0,1.0,35.0,749.0,N,C,SF,1.0,P,CA,933.0,,FRM,,,N,1.0
1.00371894813E11,B,OTHER,5.5,79000.0,360.0,01/2005,03/2005,25.0,25.0,2.0,25.0,776.0,N,C,SF,1.0,P,CA,930.0,,FRM,764.0,,N,1.0
1.00786862901E11,C,OTHER,5.75,110000.0,360.0,01/2005,03/2005,83.0,83.0,2.0,15.0,729.0,N,R,PU,1.0,P,NE,681.0,12.0,FRM,751.0,1.0,N,1.0
1.00791025259E11,C,OTHER,7.0,332000.0,360.0,01/2005,03/2005,77.0,77.0,1.0,33.0,707.0,N,R,SF,1.0,P,IL,600.0,,FRM,,,N,1.0
1.00812735478E11,B,OTHER,5.875,150000.0,360.0,12/2004,02/2005,51.0,51.0,1.0,45.0,775.0,N,P,SF,1.0,P,MA,20.0,,FRM,,,N,1.0
1.0084210998E11,C,OTHER,6.125,99000.0,360.0,12/2004,02/2005,53.0,53.0,1.0,24.0,771.0,N,C,SF,1.0,P,TX,797.0,,FRM,,,N,1.0
1.00845827886E11,C,OTHER,5.44,167000.0,360.0,12/2004,02/2005,80.0,93.0,2.0,36.0,790.0,Y,P,SF,1.0,P,NM,875.0,,FRM,750.0,,N,1.0
1.00959511179E11,C,OTHER,5.25,136000.0,180.0,11/2004,01/2005,42.0,42.0,1.0,57.0,663.0,N,C,SF,1.0,P,MD,206.0,,FRM,,,N,1.0
1.00960059397E11,B,OTHER,6.125,98000.0,360.0,12/2004,02/2005,79.0,79.0,2.0,61.0,781.0,N,P,SF,1.0,P,IN,468.0,,FRM,693.0,,N,1.0
1.00994949406E11,B,OTHER,5.75,321000.0,360.0,12/2004,02/2005,45.0,45.0,1.0,54.0,682.0,N,C,PU,1.0,P,CA,921.0,,FRM,,,N,1.0
1.01038109633E11,C,OTHER,5.625,203000.0,360.0,01/2005,03/2005,70.0,70.0,2.0,49.0,667.0,N,C,SF,1.0,P,IA,502.0,,FRM,647.0,,N,1.0
1.01258498496E11,B,OTHER,6.25,259000.0,360.0,12/2004,02/2005,95.0,95.0,1.0,35.0,692.0,Y,P,SF,1.0,P,IL,606.0,25.0,FRM,,1.0,N,1.0
1.01322821814E11,C,OTHER,5.5,352000.0,360.0,01/2005,04/2005,80.0,80.0,2.0,29.0,738.0,N,R,PU,1.0,P,NE,688.0,,FRM,799.0,,N,1.0
1.01377932093E11,C,OTHER,6.25,63000.0,240.0,01/2005,03/2005,90.0,90.0,2.0,45.0,660.0,N,C,SF,1.0,P,AR,725.0,12.0,FRM,629.0,1.0,N,1.0
1.01462556513E11,C,OTHER,5.625,264000.0,360.0,01/2005,03/2005,60.0,80.0,2.0,57.0,691.0,N,R,SF,1.0,P,AL,360.0,,FRM,715.0,,N,1.0
1.01482598522E11,C,OTHER,5.875,150000.0,240.0,01/2005,03/2005,79.0,79.0,2.0,35.0,647.0,N,C,SF,1.0,P,MD,210.0,,FRM,633.0,,N,1.0
1.01716228223E11,B,OTHER,6.0,50000.0,360.0,12/2004,02/2005,18.0,18.0,1.0,45.0,589.0,N,C,SF,1.0,P,NJ,80.0,,FRM,,,N,1.0
1.01732131316E11,B,OTHER,5.875,62000.0,240.0,12/2004,02/2005,39.0,39.0,1.0,28.0,789.0,N,C,MH,1.0,P,OR,975.0,,FRM,,,N,1.0
1.01948442541E11,C,OTHER,5.75,204000.0,240.0,12/2004,02/2005,80.0,80.0,2.0,23.0,795.0,N,P,CO,1.0,P,IN,461.0,,FRM,790.0,,N,1.0
1.02128562269E11,B,OTHER,5.875,298000.0,360.0,12/2004,02/2005,85.0,95.0,2.0,32.0,709.0,N,R,SF,1.0,P,OH,458.0,,FRM,712.0,,N,1.0
1.02207957955E11,C,OTHER,5.5,246000.0,360.0,02/2005,04/2005,80.0,80.0,2.0,17.0,660.0,N,R,PU,1.0,P,MS,390.0,,FRM,702.0,,N,1.0
1.02333595199E11,C,OTHER,5.25,102000.0,180.0,12/2004,02/2005,80.0,80.0,1.0,15.0,770.0,N,P,SF,1.0,P,TX,762.0,,FRM,,,N,1.0
1.02417625945E11,C,OTHER,6.0,124000.0,360.0,12/2004,02/2005,95.0,95.0,1.0,43.0,762.0,N,P,SF,1.0,P,MN,551.0,30.0,FRM,,1.0,N,1.0
1.0246493401E11,C,OTHER,5.75,36000.0,180.0,01/2005,04/2005,80.0,80.0,2.0,38.0,605.0,N,C,SF,1.0,P,IL,619.0,,FRM,584.0,,N,1.0
1.02553658413E11,B,OTHER,6.375,40000.0,180.0,12/2004,02/2005,49.0,49.0,1.0,13.0,626.0,N,C,SF,1.0,P,TX,761.0,,FRM,,,N,1.0
1.02576934879E11,B,OTHER,5.25,170000.0,180.0,01/2005,03/2005,76.0,76.0,2.0,41.0,663.0,N,C,SF,1.0,P,CA,932.0,,FRM,653.0,,N,1.0
1.02656384635E11,B,OTHER,6.375,220000.0,360.0,12/2004,02/2005,80.0,90.0,2.0,49.0,706.0,N,C,PU,1.0,P,IL,600.0,,FRM,,,N,1.0
1.02670585358E11,B,OTHER,5.75,64000.0,120.0,12/2004,03/2005,74.0,74.0,1.0,46.0,634.0,N,C,SF,1.0,P,KY,427.0,,FRM,,,N,1.0
1.02679173714E11,B,OTHER,6.25,264000.0,360.0,01/2005,03/2005,80.0,80.0,1.0,53.0,709.0,N,C,SF,1.0,I,CO,800.0,,FRM,,,N,1.0
1.02694202968E11,C,OTHER,5.75,71000.0,360.0,11/2004,01/2005,95.0,95.0,2.0,34.0,795.0,N,P,SF,1.0,P,NE,686.0,25.0,FRM,806.0,1.0,N,1.0
1.02833023231E11,B,OTHER,5.5,125000.0,180.0,12/2004,02/2005,77.0,77.0,1.0,46.0,715.0,N,C,SF,1.0,P,FL,341.0,,FRM,,,N,1.0
1.02840533115E11,C,OTHER,5.125,152000.0,180.0,01/2005,03/2005,74.0,74.0,2.0,26.0,587.0,N,C,SF,1.0,P,WI,541.0,,FRM,665.0,,N,1.0
1.02973280673E11,C,OTHER,5.75,169000.0,360.0,12/2004,02/2005,78.0,78.0,2.0,31.0,729.0,N,R,SF,1.0,P,TX,762.0,,FRM,756.0,,N,1.0
1.03089732145E11,C,OTHER,5.25,50000.0,120.0,02/2005,04/2005,20.0,20.0,2.0,34.0,791.0,N,R,SF,1.0,P,MO,630.0,,FRM,795.0,,N,1.0
