loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00125080805E11,R,REGIONS BANK,5.5,162000.0,360.0,11/2004,01/2005,89.0,99.0,2.0,13.0,700.0,N,R,SF,1.0,P,TN,381.0,17.0,FRM,700.0,1.0,N,1.0
1.00224876559E11,R,REGIONS BANK,5.625,95000.0,360.0,02/2005,04/2005,49.0,49.0,2.0,31.0,741.0,N,P,SF,1.0,P,AR,720.0,,FRM,620.0,,N,1.0
1.00254623448E11,R,REGIONS BANK,5.625,47000.0,360.0,12/2004,02/2005,95.0,95.0,1.0,12.0,745.0,Y,P,SF,1.0,P,SC,296.0,25.0,FRM,,1.0,N,1.0
1.00531494183E11,R,REGIONS BANK,5.75,143000.0,360.0,01/2005,03/2005,85.0,85.0,1.0,,764.0,N,P,SF,1.0,P,MS,386.0,12.0,FRM,,1.0,N,1.0
1.0060512248E11,R,REGIONS BANK,5.5,125000.0,360.0,02/2005,04/2005,95.0,95.0,2.0,27.0,792.0,Y,P,SF,1.0,P,TN,373.0,30.0,FRM,,1.0,N,1.0
1.00766509982E11,R,REGIONS BANK,5.25,60000.0,180.0,12/2004,02/2005,33.0,33.0,1.0,54.0,759.0,N,C,SF,1.0,P,AL,365.0,,FRM,,,N,1.0
1.00787207662E11,R,REGIONS BANK,5.75,60000.0,360.0,12/2004,02/2005,22.0,22.0,2.0,27.0,766.0,N,C,SF,1.0,P,AZ,864.0,,FRM,784.0,,N,1.0
1.00804560168E11,R,REGIONS BANK,5.75,132000.0,360.0,12/2004,02/2005,80.0,83.0,1.0,27.0,700.0,N,R,SF,1.0,P,TN,374.0,,FRM,,,N,1.0
1.0090676993E11,R,REGIONS BANK,4.875,202000.0,180.0,02/2005,04/2005,90.0,90.0,1.0,48.0,777.0,N,P,SF,1.0,P,GA,305.0,12.0,FRM,,1.0,N,1.0
1.01217964551E11,R,REGIONS BANK,5.375,30000.0,180.0,01/2005,03/2005,69.0,69.0,1.0,58.0,710.0,N,C,SF,1.0,P,TN,385.0,,FRM,,,N,1.0
1.01267903556E11,R,REGIONS BANK,5.5,110000.0,360.0,11/2004,01/2005,31.0,78.0,2.0,41.0,770.0,N,P,SF,1.0,P,LA,704.0,,FRM,790.0,,N,1.0
1.01453093205E11,B,REGIONS BANK,5.875,143000.0,360.0,12/2004,02/2005,97.0,97.0,1.0,46.0,646.0,Y,P,SF,1.0,P,TX,770.0,35.0,FRM,,1.0,N,1.0
1.0156888E11,C,REGIONS BANK,5.875,237000.0,360.0,12/2004,02/2005,95.0,95.0,2.0,37.0,692.0,N,P,PU,1.0,P,TX,775.0,25.0,FRM,699.0,1.0,N,1.0
1.01806580857E11,R,REGIONS BANK,5.875,308000.0,360.0,01/2005,03/2005,80.0,86.0,2.0,11.0,727.0,N,P,SF,1.0,S,NM,875.0,,FRM,808.0,,N,1.0
1.02110693247E11,R,REGIONS BANK,6.125,50000.0,360.0,01/2005,03/2005,53.0,53.0,1.0,31.0,790.0,N,P,SF,1.0,I,AR,722.0,,FRM,,,N,1.0
1.0212060074E11,C,REGIONS BANK,5.75,99000.0,360.0,10/2004,12/2004,79.0,79.0,1.0,33.0,670.0,N,C,SF,1.0,P,MO,640.0,,FRM,,,N,1.0
1.02433925554E11,R,REGIONS BANK,6.0,80000.0,360.0,11/2004,01/2005,97.0,97.0,1.0,34.0,626.0,Y,P,SF,1.0,P,LA,701.0,35.0,FRM,,1.0,N,1.0
1.02556525251E11,R,REGIONS BANK,5.5,330000.0,360.0,11/2004,01/2005,73.0,79.0,1.0,31.0,785.0,Y,P,SF,1.0,P,CA,914.0,,FRM,,,N,1.0
1.02566909325E11,B,REGIONS BANK,5.75,323000.0,360.0,01/2005,03/2005,77.0,77.0,2.0,42.0,700.0,N,R,SF,1.0,P,IL,606.0,,FRM,700.0,,N,1.0
1.03126602817E11,R,REGIONS BANK,5.625,128000.0,360.0,12/2004,02/2005,80.0,80.0,2.0,58.0,743.0,N,C,SF,1.0,P,LA,707.0,,FRM,695.0,,N,1.0
1.03203193013E11,R,REGIONS BANK,5.875,188000.0,360.0,01/2005,03/2005,79.0,79.0,2.0,56.0,709.0,N,C,SF,1.0,P,MO,637.0,,FRM,679.0,,N,1.0
1.03368608448E11,R,REGIONS BANK,5.375,214000.0,360.0,12/2004,02/2005,80.0,80.0,2.0,29.0,781.0,N,R,SF,1.0,P,WA,986.0,,FRM,785.0,,N,1.0
1.03720214832E11,B,REGIONS BANK,5.625,289000.0,360.0,12/2004,02/2005,80.0,95.0,2.0,33.0,747.0,N,P,SF,1.0,P,MO,631.0,,FRM,758.0,,N,1.0
1.03781131516E11,R,REGIONS BANK,5.625,80000.0,360.0,01/2005,03/2005,80.0,80.0,1.0,22.0,732.0,N,R,SF,1.0,P,GA,307.0,,FRM,,,N,1.0
1.03824347049E11,B,REGIONS BANK,6.25,242000.0,360.0,01/2005,03/2005,80.0,80.0,2.0,44.0,720.0,N,R,SF,1.0,P,MN,553.0,,FRM,733.0,,N,1.0
1.03999884984E11,R,REGIONS BANK,5.5,300000.0,360.0,12/2004,03/2005,76.0,76.0,2.0,25.0,812.0,N,P,PU,1.0,P,WA,982.0,,FRM,813.0,,N,1.0
1.04031943848E11,R,REGIONS BANK,5.75,100000.0,360.0,11/2004,01/2005,51.0,51.0,1.0,23.0,618.0,N,P,SF,1.0,P,AL,368.0,,FRM,,,N,1.0
1.0442313432E11,R,REGIONS BANK,5.75,164000.0,360.0,12/2004,02/2005,95.0,95.0,2.0,46.0,636.0,N,P,SF,1.0,P,LA,712.0,30.0,FRM,,1.0,N,1.0
1.04556424894E11,R,REGIONS BANK,5.875,98000.0,360.0,12/2004,02/2005,90.0,90.0,2.0,59.0,724.0,N,R,SF,1.0,P,IL,622.0,25.0,FRM,733.0,1.0,N,1.0
1.0456565741E11,R,REGIONS BANK,5.625,182000.0,360.0,10/2004,12/2004,50.0,50.0,1.0,57.0,700.0,N,C,SF,1.0,P,FL,331.0,,FRM,,,N,1.0
1.04656173308E11,R,REGIONS BANK,5.75,170000.0,360.0,12/2004,02/2005,77.0,82.0,1.0,56.0,650.0,N,C,SF,1.0,P,GA,305.0,,FRM,,,N,1.0
1.0471371846E11,R,REGIONS BANK,5.75,80000.0,180.0,12/2004,02/2005,54.0,54.0,2.0,56.0,786.0,N,C,SF,1.0,P,UT,846.0,,FRM,778.0,,N,1.0
1.0476948999E11,R,REGIONS BANK,5.75,167000.0,360.0,12/2004,02/2005,74.0,74.0,2.0,50.0,650.0,N,C,SF,1.0,P,MI,481.0,,FRM,650.0,,N,1.0
1.0554660473E11,R,REGIONS BANK,5.75,120000.0,360.0,02/2005,04/2005,80.0,95.0,1.0,35.0,792.0,Y,P,SF,1.0,P,IL,617.0,,FRM,,,N,1.0
1.05647421825E11,R,REGIONS BANK,5.0,68000.0,180.0,02/2005,04/2005,89.0,89.0,2.0,27.0,686.0,N,C,SF,1.0,P,MS,386.0,12.0,FRM,705.0,1.0,N,1.0
