loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00020383977E11,C,SUNTRUST MORTGAGE INC.,6.375,164000.0,360.0,10/2004,12/2004,80.0,80.0,2.0,52.0,759.0,N,C,SF,1.0,P,CA,925.0,,FRM,759.0,,N,1.0
1.00098454069E11,C,SUNTRUST MORTGAGE INC.,5.5,75000.0,180.0,11/2004,01/2005,57.0,57.0,1.0,24.0,715.0,N,R,SF,1.0,P,CA,937.0,,FRM,,,N,1.0
1.00149571376E11,B,SUNTRUST MORTGAGE INC.,5.75,233000.0,360.0,10/2004,12/2004,95.0,95.0,2.0,39.0,690.0,N,P,SF,1.0,P,NV,891.0,30.0,FRM,684.0,1.0,N,1.0
1.00152188397E11,B,SUNTRUST MORTGAGE INC.,5.625,186000.0,360.0,11/2004,01/2005,70.0,70.0,2.0,21.0,710.0,N,C,SF,1.0,P,VA,243.0,,FRM,699.0,,N,1.0
1.00166975862E11,R,SUNTRUST MORTGAGE INC.,5.5,96000.0,360.0,11/2004,01/2005,80.0,95.0,2.0,15.0,773.0,N,P,SF,1.0,S,NC,287.0,,FRM,773.0,,N,1.0
1.00205743502E11,R,SUNTRUST MORTGAGE INC.,5.875,111000.0,360.0,12/2004,02/2005,80.0,95.0,1.0,57.0,660.0,N,P,PU,1.0,P,FL,322.0,,FRM,,,N,1.0
1.0022476326E11,B,SUNTRUST MORTGAGE INC.,5.625,71000.0,360.0,12/2004,02/2005,80.0,90.0,1.0,32.0,677.0,N,R,SF,1.0,P,GA,313.0,,FRM,,,N,1.0
1.00283043292E11,C,SUNTRUST MORTGAGE INC.,5.75,350000.0,360.0,11/2004,01/2005,70.0,70.0,2.0,35.0,714.0,N,C,SF,1.0,P,CA,907.0,,FRM,709.0,,N,1.0
1.00286738461E11,B,SUNTRUST MORTGAGE INC.,6.125,100000.0,360.0,11/2004,12/2004,47.0,47.0,1.0,35.0,785.0,N,C,CO,1.0,I,CA,905.0,,FRM,,,N,1.0
1.00524418526E11,C,SUNTRUST MORTGAGE INC.,5.5,105000.0,360.0,11/2004,01/2005,70.0,70.0,1.0,39.0,750.0,N,P,SF,1.0,P,GA,308.0,,FRM,,,N,1.0
