loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00166871045E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.75,93000.0,240.0,01/2005,03/2005,69.0,69.0,2.0,33.0,632.0,N,R,SF,1.0,P,TN,380.0,,FRM,637.0,,N,1.0
1.00353146425E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,99000.0,360.0,02/2005,04/2005,77.0,77.0,2.0,38.0,757.0,N,R,SF,1.0,I,ID,837.0,,FRM,751.0,,N,1.0
1.00781896227E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.625,98000.0,360.0,02/2005,04/2005,80.0,80.0,2.0,32.0,781.0,N,C,SF,1.0,P,OR,976.0,,FRM,765.0,,N,1.0
1.01095756698E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,96000.0,360.0,01/2005,03/2005,75.0,75.0,1.0,,806.0,N,P,PU,1.0,P,PA,175.0,,FRM,,,N,1.0
1.01294260395E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,113000.0,240.0,02/2005,04/2005,83.0,83.0,1.0,43.0,762.0,N,C,SF,1.0,P,MO,645.0,6.0,FRM,,1.0,N,1.0
1.01503754246E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,132000.0,360.0,01/2005,03/2005,76.0,76.0,2.0,35.0,723.0,N,C,SF,1.0,P,PA,173.0,,FRM,715.0,,N,1.0
1.01554886692E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.125,72000.0,360.0,02/2005,04/2005,80.0,80.0,1.0,53.0,789.0,N,C,SF,2.0,I,OH,441.0,,FRM,,,N,1.0
1.01627637115E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,134000.0,360.0,01/2005,03/2005,80.0,80.0,1.0,45.0,652.0,N,R,SF,1.0,P,TX,770.0,,FRM,,,N,1.0
1.01815934716E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,110000.0,360.0,12/2004,02/2005,80.0,95.0,1.0,38.0,798.0,N,P,SF,1.0,P,ID,837.0,,FRM,,,N,1.0
1.01827144724E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.75,330000.0,360.0,02/2005,04/2005,80.0,80.0,1.0,,769.0,N,P,SF,1.0,S,WA,981.0,,FRM,,,N,1.0
1.01925775687E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,352000.0,360.0,01/2005,03/2005,80.0,80.0,2.0,33.0,741.0,N,R,SF,1.0,P,WA,986.0,,FRM,720.0,,N,1.0
1.02182047032E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.0,72000.0,120.0,12/2004,02/2005,18.0,18.0,2.0,20.0,787.0,N,R,SF,1.0,P,MD,210.0,,FRM,716.0,,N,1.0
1.02368439731E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.5,210000.0,360.0,01/2005,03/2005,52.0,52.0,2.0,15.0,801.0,N,P,SF,1.0,P,TN,374.0,,FRM,813.0,,N,1.0
1.02688015982E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,4.875,226000.0,360.0,02/2005,04/2005,58.0,58.0,2.0,21.0,792.0,N,C,SF,1.0,P,CA,924.0,,FRM,737.0,,N,1.0
1.02780911016E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.0,96000.0,240.0,02/2005,04/2005,80.0,80.0,2.0,62.0,704.0,N,C,SF,2.0,I,TN,373.0,,FRM,714.0,,N,1.0
1.0301776115E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.75,96000.0,360.0,12/2004,02/2005,72.0,72.0,2.0,7.0,710.0,N,R,SF,1.0,I,CO,809.0,,FRM,680.0,,N,1.0
1.0326021299E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.0,112000.0,360.0,10/2004,12/2004,51.0,51.0,2.0,44.0,743.0,N,P,SF,1.0,P,FL,339.0,,FRM,681.0,,N,1.0
1.033161942E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.5,142000.0,180.0,02/2005,04/2005,75.0,75.0,1.0,37.0,702.0,N,C,SF,1.0,P,NH,32.0,,FRM,,,N,1.0
1.03519225787E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.625,360000.0,360.0,01/2005,03/2005,77.0,77.0,2.0,41.0,764.0,N,C,PU,1.0,P,TX,787.0,,FRM,769.0,,N,1.0
1.03560899562E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,136000.0,360.0,12/2004,02/2005,78.0,78.0,2.0,25.0,667.0,N,R,PU,1.0,P,TX,773.0,,FRM,634.0,,N,1.0
1.03791444154E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.0,120000.0,360.0,12/2004,02/2005,71.0,95.0,2.0,41.0,666.0,N,P,PU,1.0,P,MO,633.0,,FRM,,,N,1.0
1.03823362525E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.125,250000.0,360.0,12/2004,02/2005,69.0,69.0,1.0,26.0,742.0,N,P,PU,1.0,P,PA,193.0,,FRM,,,N,1.0
1.03913413309E11,B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.75,103000.0,360.0,01/2005,03/2005,80.0,89.0,1.0,39.0,670.0,N,P,SF,1.0,S,NM,871.0,,FRM,,,N,1.0
1.03933730449E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.75,96000.0,360.0,02/2005,03/2005,91.0,91.0,1.0,13.0,765.0,N,R,SF,1.0,P,NM,880.0,30.0,FRM,,1.0,N,1.0
1.04177623252E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,87000.0,240.0,01/2005,03/2005,34.0,34.0,1.0,25.0,766.0,N,P,SF,1.0,I,CO,814.0,,FRM,,,N,1.0
1.04235178262E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.375,120000.0,360.0,02/2005,04/2005,58.0,58.0,2.0,16.0,795.0,N,R,PU,1.0,P,MO,633.0,,FRM,795.0,,N,1.0
1.04291092387E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,84000.0,360.0,12/2004,02/2005,76.0,76.0,1.0,30.0,717.0,N,R,SF,1.0,P,NC,281.0,,FRM,,,N,1.0
1.04304808029E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.0,191000.0,360.0,12/2004,02/2005,88.0,88.0,2.0,40.0,655.0,N,R,SF,1.0,P,TX,775.0,25.0,FRM,640.0,1.0,N,1.0
1.04392522634E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.0,246000.0,360.0,12/2004,01/2005,75.0,75.0,2.0,46.0,730.0,N,C,SF,1.0,P,CA,959.0,,FRM,710.0,,N,1.0
1.04410015768E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.0,56000.0,360.0,01/2005,03/2005,85.0,85.0,1.0,55.0,772.0,N,C,SF,1.0,I,SC,293.0,12.0,FRM,,1.0,N,1.0
1.04450018064E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,309000.0,360.0,02/2005,04/2005,57.0,57.0,2.0,17.0,739.0,N,C,SF,1.0,P,WA,980.0,,FRM,737.0,,N,1.0
1.04450610009E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.75,312000.0,360.0,12/2004,02/2005,80.0,80.0,2.0,63.0,751.0,N,P,PU,1.0,P,CO,805.0,,FRM,757.0,,N,1.0
1.04466063327E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,143000.0,360.0,12/2004,02/2005,90.0,90.0,2.0,57.0,723.0,N,P,SF,1.0,S,FL,346.0,25.0,FRM,693.0,1.0,N,1.0
1.04558793145E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.625,156000.0,360.0,12/2004,02/2005,80.0,80.0,2.0,37.0,762.0,N,R,PU,1.0,P,NC,282.0,,FRM,761.0,,N,1.0
1.04577626805E11,B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.625,105000.0,360.0,12/2004,01/2005,47.0,47.0,1.0,50.0,799.0,N,P,PU,1.0,P,MN,554.0,,FRM,,,N,1.0
1.0458632843E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.0,199000.0,180.0,01/2005,03/2005,76.0,76.0,2.0,55.0,768.0,N,R,PU,1.0,P,MS,386.0,,FRM,785.0,,N,1.0
1.05001561604E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.0,156000.0,360.0,12/2004,02/2005,55.0,55.0,1.0,16.0,748.0,N,R,SF,1.0,P,NY,117.0,,FRM,,,N,1.0
1.05031611718E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.625,332000.0,360.0,02/2005,04/2005,77.0,77.0,1.0,52.0,775.0,N,C,SF,1.0,P,DC,200.0,,FRM,,,N,1.0
1.05137932151E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.5,360000.0,360.0,01/2005,03/2005,69.0,69.0,2.0,39.0,759.0,N,C,PU,1.0,P,NV,891.0,,FRM,744.0,,N,1.0
1.0514795043E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.75,359000.0,360.0,02/2005,04/2005,76.0,76.0,2.0,37.0,731.0,N,C,PU,1.0,P,AZ,850.0,,FRM,683.0,,N,1.0
1.05225130129E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.75,132000.0,180.0,01/2005,03/2005,80.0,80.0,1.0,49.0,728.0,N,P,SF,1.0,I,UT,841.0,,FRM,,,N,1.0
1.05305396642E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.375,297000.0,360.0,12/2004,02/2005,90.0,90.0,2.0,45.0,658.0,N,R,SF,1.0,P,WA,982.0,25.0,FRM,664.0,1.0,N,1.0
1.05368395115E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.25,376000.0,360.0,12/2004,02/2005,57.0,57.0,2.0,30.0,789.0,N,C,PU,1.0,P,HI,967.0,,FRM,774.0,,N,1.0
1.0546478501E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.0,224000.0,360.0,02/2005,04/2005,66.0,66.0,2.0,42.0,707.0,N,R,SF,1.0,P,TN,372.0,,FRM,772.0,,N,1.0
1.05685504744E11,B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.625,194000.0,360.0,12/2004,02/2005,63.0,63.0,2.0,40.0,718.0,N,P,PU,1.0,P,MN,553.0,,FRM,731.0,,N,1.0
1.05970531283E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.125,334000.0,180.0,12/2004,02/2005,63.0,63.0,1.0,43.0,794.0,Y,P,CO,1.0,P,CA,921.0,,FRM,,,N,1.0
1.0627248253E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,275000.0,360.0,12/2004,02/2005,90.0,90.0,2.0,38.0,607.0,Y,P,SF,1.0,P,CT,60.0,17.0,FRM,605.0,1.0,N,1.0
1.06410137102E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,6.25,270000.0,360.0,12/2004,02/2005,90.0,90.0,2.0,44.0,785.0,N,P,SF,1.0,P,MA,27.0,17.0,FRM,805.0,1.0,N,1.0
1.06844060511E11,C,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.625,34000.0,180.0,02/2005,04/2005,62.0,62.0,2.0,20.0,797.0,N,R,SF,1.0,P,KS,677.0,,FRM,796.0,,N,1.0
1.0694651295E11,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,5.875,283000.0,360.0,02/2005,04/2005,71.0,71.0,1.0,30.0,729.0,N,R,SF,1.0,P,WA,981.0,,FRM,,,N,1.0
