loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00193590893E11,C,USAA FEDERAL SAVINGS BANK,6.25,184000.0,360.0,02/2005,04/2005,80.0,80.0,1.0,,623.0,N,C,SF,1.0,P,FL,327.0,,FRM,,,N,1.0
1.00194322408E11,R,USAA FEDERAL SAVINGS BANK,5.375,143000.0,360.0,12/2004,02/2005,79.0,79.0,1.0,14.0,802.0,N,P,CO,1.0,P,UT,841.0,,FRM,,,N,1.0
1.00234600955E11,R,USAA FEDERAL SAVINGS BANK,5.5,236000.0,360.0,12/2004,02/2005,42.0,42.0,2.0,60.0,796.0,N,C,SF,1.0,P,CA,930.0,,FRM,730.0,,N,1.0
1.00255467799E11,R,USAA FEDERAL SAVINGS BANK,5.5,316000.0,360.0,12/2004,02/2005,80.0,90.0,2.0,51.0,639.0,N,P,SF,1.0,P,PA,193.0,,FRM,718.0,,N,1.0
1.0045142943E11,C,USAA FEDERAL SAVINGS BANK,5.875,78000.0,360.0,12/2004,02/2005,95.0,95.0,2.0,,689.0,N,P,SF,1.0,S,PA,178.0,30.0,FRM,660.0,1.0,N,1.0
1.00720390653E11,R,USAA FEDERAL SAVINGS BANK,5.5,157000.0,360.0,11/2004,01/2005,80.0,80.0,2.0,50.0,776.0,N,P,PU,1.0,P,IN,463.0,,FRM,776.0,,N,1.0
1.00891633621E11,R,USAA FEDERAL SAVINGS BANK,5.75,195000.0,360.0,12/2004,02/2005,75.0,75.0,2.0,42.0,809.0,N,P,SF,1.0,P,AZ,857.0,,FRM,807.0,,N,1.0
1.0090736518E11,R,USAA FEDERAL SAVINGS BANK,5.375,106000.0,360.0,11/2004,01/2005,80.0,86.0,2.0,33.0,687.0,N,P,PU,1.0,P,TX,761.0,,FRM,781.0,,N,1.0
1.01223593054E11,R,USAA FEDERAL SAVINGS BANK,5.875,110000.0,360.0,01/2005,03/2005,75.0,75.0,2.0,53.0,788.0,N,P,SF,1.0,P,NC,288.0,,FRM,770.0,,N,1.0
1.01275406357E11,R,USAA FEDERAL SAVINGS BANK,5.625,200000.0,360.0,02/2005,04/2005,41.0,41.0,2.0,27.0,793.0,N,P,PU,1.0,P,PA,194.0,,FRM,797.0,,N,1.0
1.01565857666E11,R,USAA FEDERAL SAVINGS BANK,5.75,77000.0,360.0,12/2004,02/2005,90.0,90.0,1.0,26.0,779.0,N,P,MH,1.0,P,WI,541.0,30.0,FRM,,1.0,N,1.0
1.01608779802E11,R,USAA FEDERAL SAVINGS BANK,5.75,146000.0,360.0,12/2004,02/2005,82.0,82.0,2.0,37.0,738.0,N,R,SF,1.0,P,IL,622.0,12.0,FRM,733.0,1.0,N,1.0
1.01707737838E11,C,USAA FEDERAL SAVINGS BANK,6.0,152000.0,360.0,09/2004,11/2004,51.0,51.0,1.0,50.0,813.0,N,R,SF,1.0,P,HI,967.0,,FRM,,,N,1.0
1.01767555433E11,R,USAA FEDERAL SAVINGS BANK,5.0,44000.0,180.0,12/2004,02/2005,21.0,21.0,2.0,60.0,719.0,N,P,PU,1.0,P,AL,368.0,,FRM,703.0,,N,1.0
1.01872850194E11,C,USAA FEDERAL SAVINGS BANK,5.375,165000.0,240.0,01/2005,03/2005,41.0,41.0,2.0,,592.0,N,C,SF,1.0,P,NM,875.0,,FRM,627.0,,N,1.0
1.01917576813E11,R,USAA FEDERAL SAVINGS BANK,5.75,167000.0,360.0,12/2004,03/2005,90.0,90.0,2.0,41.0,682.0,N,C,SF,1.0,P,MA,14.0,25.0,FRM,688.0,1.0,N,1.0
1.02100321E11,R,USAA FEDERAL SAVINGS BANK,5.5,165000.0,360.0,11/2004,01/2005,90.0,90.0,2.0,55.0,779.0,N,P,SF,1.0,P,NJ,80.0,25.0,FRM,687.0,1.0,N,1.0
1.0226771889E11,R,USAA FEDERAL SAVINGS BANK,5.875,126000.0,360.0,01/2005,03/2005,90.0,90.0,1.0,63.0,802.0,N,P,PU,1.0,I,OK,730.0,25.0,FRM,,1.0,N,1.0
1.0248787291E11,R,USAA FEDERAL SAVINGS BANK,5.75,105000.0,360.0,01/2005,03/2005,68.0,68.0,2.0,39.0,729.0,N,P,SF,1.0,P,IN,472.0,,FRM,724.0,,N,1.0
1.02986825542E11,R,USAA FEDERAL SAVINGS BANK,5.75,146000.0,360.0,01/2005,03/2005,97.0,97.0,2.0,48.0,781.0,N,P,SF,1.0,P,TX,782.0,35.0,FRM,788.0,1.0,N,1.0
1.03203492231E11,R,USAA FEDERAL SAVINGS BANK,5.75,160000.0,360.0,12/2004,02/2005,59.0,59.0,2.0,17.0,807.0,N,P,SF,1.0,P,FL,324.0,,FRM,793.0,,N,1.0
1.03645006214E11,C,USAA FEDERAL SAVINGS BANK,5.0,99000.0,180.0,12/2004,02/2005,28.0,28.0,2.0,39.0,777.0,N,R,SF,1.0,P,VA,201.0,,FRM,757.0,,N,1.0
1.03942408998E11,R,USAA FEDERAL SAVINGS BANK,5.5,139000.0,360.0,11/2004,01/2005,59.0,59.0,1.0,29.0,717.0,N,R,SF,1.0,P,NJ,70.0,,FRM,,,N,1.0
1.03950812146E11,R,USAA FEDERAL SAVINGS BANK,5.75,126000.0,360.0,02/2005,04/2005,80.0,80.0,2.0,25.0,690.0,N,P,SF,1.0,P,KY,401.0,,FRM,671.0,,N,1.0
1.03979837517E11,R,USAA FEDERAL SAVINGS BANK,4.875,242000.0,180.0,12/2004,02/2005,70.0,70.0,2.0,63.0,782.0,N,P,SF,1.0,P,AL,357.0,,FRM,774.0,,N,1.0
1.03985041515E11,R,USAA FEDERAL SAVINGS BANK,5.75,180000.0,360.0,12/2004,02/2005,97.0,97.0,1.0,35.0,781.0,N,P,SF,1.0,P,TX,787.0,35.0,FRM,,1.0,N,1.0
1.04062764464E11,R,USAA FEDERAL SAVINGS BANK,5.375,155000.0,360.0,11/2004,01/2005,44.0,44.0,2.0,15.0,799.0,N,P,CO,1.0,S,MD,214.0,,FRM,798.0,,N,1.0
1.04211549644E11,R,USAA FEDERAL SAVINGS BANK,5.75,71000.0,360.0,01/2005,03/2005,65.0,86.0,2.0,30.0,659.0,N,R,SF,1.0,P,TX,760.0,,FRM,728.0,,N,1.0
1.04218869584E11,R,USAA FEDERAL SAVINGS BANK,5.75,70000.0,360.0,02/2005,04/2005,43.0,43.0,2.0,15.0,780.0,N,R,SF,1.0,P,FL,327.0,,FRM,785.0,,N,1.0
1.04272975867E11,R,USAA FEDERAL SAVINGS BANK,4.875,53000.0,180.0,12/2004,02/2005,68.0,68.0,1.0,41.0,705.0,N,R,SF,1.0,P,TX,782.0,,FRM,,,N,1.0
