loan_id,orig_channel,seller_name,orig_int_rate,original_upb,original_loan_term,orig_date,first_pymt_date,orig_ltv,orig_cltv,num_borrowers,orig_dti,credit_score,first_time_buyer,loan_purpose,property_type,number_units,occ_type,prop_state,zip_code,primary_insurance_pct,product_type,coborrower_credit_score,mortgage_insurance_type,relo_mortgage_indicator,current_delq_status
1.00018573876E11,R,"WELLS FARGO BANK, N.A.",5.875,165000.0,360.0,02/2005,04/2005,59.0,59.0,2.0,38.0,710.0,N,C,SF,1.0,P,NJ,87.0,,FRM,733.0,,N,1.0
1.0002672267E11,R,"WELLS FARGO BANK, N.A.",5.5,134000.0,360.0,12/2004,02/2005,80.0,85.0,1.0,49.0,787.0,N,C,PU,1.0,P,FL,330.0,,FRM,,,N,1.0
1.00054345539E11,B,"WELLS FARGO BANK, N.A.",5.625,182000.0,360.0,11/2004,01/2005,95.0,95.0,2.0,26.0,760.0,N,R,SF,1.0,P,IN,461.0,30.0,FRM,714.0,1.0,N,1.0
1.00194956789E11,R,"WELLS FARGO BANK, N.A.",4.875,147000.0,180.0,01/2005,03/2005,72.0,72.0,2.0,39.0,651.0,N,C,SF,1.0,P,FL,337.0,,FRM,626.0,,N,1.0
1.00280511867E11,C,"WELLS FARGO BANK, N.A.",5.375,360000.0,360.0,02/2005,04/2005,59.0,75.0,2.0,45.0,778.0,N,C,SF,1.0,P,CA,950.0,,FRM,,,N,1.0
1.00312772807E11,C,"WELLS FARGO BANK, N.A.",5.75,72000.0,360.0,12/2004,02/2005,80.0,80.0,1.0,33.0,743.0,N,R,SF,1.0,P,WI,532.0,,FRM,,,N,1.0
1.00460546317E11,R,"WELLS FARGO BANK, N.A.",5.75,85000.0,240.0,11/2004,01/2005,60.0,60.0,2.0,29.0,757.0,N,R,SF,1.0,P,NY,121.0,,FRM,,,N,1.0
1.00543782216E11,C,"WELLS FARGO BANK, N.A.",5.5,252000.0,360.0,01/2005,03/2005,80.0,90.0,2.0,43.0,744.0,Y,P,SF,1.0,P,MD,207.0,,FRM,,,N,1.0
1.00558477926E11,R,"WELLS FARGO BANK, N.A.",5.375,103000.0,180.0,01/2005,03/2005,69.0,69.0,1.0,42.0,709.0,N,C,SF,1.0,P,WI,532.0,,FRM,,,N,1.0
1.00573381311E11,R,"WELLS FARGO BANK, N.A.",4.875,85000.0,180.0,12/2004,02/2005,79.0,79.0,1.0,32.0,648.0,N,C,SF,1.0,P,NJ,81.0,,FRM,,,N,1.0
1.00585696906E11,R,"WELLS FARGO BANK, N.A.",5.875,107000.0,360.0,12/2004,02/2005,86.0,86.0,1.0,33.0,755.0,N,C,SF,1.0,P,ID,836.0,25.0,FRM,,1.0,N,1.0
1.00658199603E11,C,"WELLS FARGO BANK, N.A.",5.125,156000.0,180.0,12/2004,02/2005,80.0,80.0,2.0,35.0,777.0,N,P,PU,1.0,P,TX,750.0,,FRM,,,N,1.0
1.00728259156E11,R,"WELLS FARGO BANK, N.A.",5.25,51000.0,180.0,10/2004,12/2004,20.0,20.0,2.0,10.0,803.0,N,P,SF,1.0,P,WI,531.0,,FRM,798.0,,N,1.0
1.00739169714E11,C,"WELLS FARGO BANK, N.A.",5.0,100000.0,180.0,12/2004,02/2005,51.0,51.0,2.0,56.0,729.0,N,P,SF,1.0,P,CO,810.0,,FRM,,,N,1.0
1.00744703376E11,B,"WELLS FARGO BANK, N.A.",5.5,124000.0,360.0,11/2004,01/2005,64.0,64.0,1.0,50.0,719.0,N,C,PU,1.0,P,AZ,857.0,,FRM,,,N,1.0
1.00747493241E11,C,"WELLS FARGO BANK, N.A.",5.75,124000.0,360.0,12/2004,02/2005,95.0,95.0,2.0,52.0,664.0,Y,P,SF,1.0,P,OK,731.0,25.0,FRM,,1.0,N,1.0
1.00796924025E11,R,"WELLS FARGO BANK, N.A.",5.625,45000.0,360.0,12/2004,02/2005,30.0,30.0,2.0,48.0,802.0,N,P,SF,1.0,P,FL,344.0,,FRM,771.0,,N,1.0
1.00807004176E11,R,"WELLS FARGO BANK, N.A.",5.75,130000.0,360.0,02/2005,04/2005,65.0,65.0,1.0,45.0,674.0,N,C,CO,1.0,P,FL,334.0,,FRM,,,N,1.0
1.00918675209E11,R,"WELLS FARGO BANK, N.A.",5.625,209000.0,360.0,12/2004,02/2005,80.0,89.0,2.0,35.0,674.0,N,P,SF,1.0,S,IL,622.0,,FRM,736.0,,N,1.0
1.00941855567E11,C,"WELLS FARGO BANK, N.A.",5.75,97000.0,360.0,12/2004,02/2005,80.0,80.0,2.0,57.0,711.0,N,P,SF,2.0,I,OR,973.0,,FRM,,,N,1.0
1.00967984907E11,C,"WELLS FARGO BANK, N.A.",5.5,197000.0,360.0,01/2005,03/2005,80.0,95.0,1.0,26.0,686.0,Y,P,SF,1.0,P,AL,357.0,,FRM,,,N,1.0
1.00973696262E11,R,"WELLS FARGO BANK, N.A.",5.625,172000.0,360.0,01/2005,03/2005,78.0,78.0,2.0,21.0,781.0,N,R,SF,1.0,P,FL,325.0,,FRM,760.0,,N,1.0
1.0103770061E11,C,"WELLS FARGO BANK, N.A.",5.5,315000.0,360.0,01/2005,03/2005,76.0,76.0,2.0,35.0,705.0,Y,P,SF,1.0,P,NJ,88.0,,FRM,,,N,1.0
1.01153498522E11,R,"WELLS FARGO BANK, N.A.",5.625,160000.0,360.0,12/2004,02/2005,80.0,90.0,1.0,43.0,779.0,Y,P,PU,1.0,P,NC,274.0,,FRM,,,N,1.0
1.01199552338E11,C,"WELLS FARGO BANK, N.A.",5.875,122000.0,360.0,12/2004,02/2005,75.0,75.0,2.0,47.0,694.0,N,C,SF,1.0,P,IL,606.0,,FRM,,,N,1.0
1.01217832172E11,R,"WELLS FARGO BANK, N.A.",5.25,110000.0,360.0,11/2004,01/2005,44.0,44.0,2.0,11.0,801.0,N,P,SF,1.0,P,TX,762.0,,FRM,802.0,,Y,1.0
1.01277614404E11,C,"WELLS FARGO BANK, N.A.",6.375,250000.0,240.0,11/2004,12/2004,76.0,76.0,1.0,40.0,751.0,N,R,SF,1.0,P,MI,481.0,,FRM,,,N,1.0
1.0130467726E11,C,"WELLS FARGO BANK, N.A.",5.5,230000.0,360.0,12/2004,02/2005,61.0,61.0,1.0,42.0,783.0,N,P,SF,1.0,P,CA,917.0,,FRM,,,N,1.0
1.01408474659E11,R,"WELLS FARGO BANK, N.A.",5.625,334000.0,240.0,11/2004,01/2005,44.0,70.0,2.0,36.0,783.0,N,C,SF,1.0,P,CA,940.0,,FRM,775.0,,N,1.0
1.01582051956E11,R,"WELLS FARGO BANK, N.A.",5.75,270000.0,360.0,01/2005,03/2005,76.0,90.0,2.0,54.0,772.0,N,C,SF,1.0,P,PA,194.0,,FRM,777.0,,N,1.0
1.01639899491E11,C,"WELLS FARGO BANK, N.A.",5.25,237000.0,360.0,02/2005,04/2005,69.0,69.0,2.0,37.0,724.0,N,C,SF,1.0,P,AL,363.0,,FRM,,,N,1.0
1.01726825784E11,C,"WELLS FARGO BANK, N.A.",5.75,427000.0,360.0,01/2005,03/2005,78.0,78.0,2.0,37.0,792.0,N,R,SF,2.0,P,MA,24.0,,FRM,,,N,1.0
1.01749911331E11,C,"WELLS FARGO BANK, N.A.",5.875,82000.0,360.0,01/2005,03/2005,80.0,80.0,2.0,29.0,730.0,N,C,SF,1.0,P,LA,708.0,,FRM,,,N,1.0
1.01767889058E11,C,"WELLS FARGO BANK, N.A.",5.0,107000.0,360.0,12/2004,02/2005,95.0,95.0,1.0,31.0,769.0,N,P,SF,1.0,P,MS,386.0,25.0,FRM,,1.0,N,1.0
1.01895060232E11,C,"WELLS FARGO BANK, N.A.",5.875,157000.0,360.0,12/2004,01/2005,85.0,85.0,1.0,49.0,734.0,Y,P,SF,1.0,P,MN,566.0,12.0,FRM,,1.0,N,1.0
1.02056878312E11,R,"WELLS FARGO BANK, N.A.",5.625,180000.0,360.0,12/2004,02/2005,39.0,39.0,2.0,21.0,769.0,N,P,SF,1.0,P,OH,442.0,,FRM,710.0,,N,1.0
1.02109609827E11,R,"WELLS FARGO BANK, N.A.",5.625,270000.0,360.0,12/2004,02/2005,52.0,52.0,2.0,23.0,800.0,N,P,SF,1.0,P,MA,18.0,,FRM,811.0,,N,1.0
1.02239248294E11,R,"WELLS FARGO BANK, N.A.",5.5,28000.0,180.0,12/2004,01/2005,80.0,80.0,1.0,22.0,802.0,Y,P,SF,2.0,P,PA,186.0,,FRM,,,N,1.0
1.02279111828E11,R,"WELLS FARGO BANK, N.A.",5.875,264000.0,360.0,02/2005,04/2005,80.0,90.0,1.0,57.0,736.0,N,C,SF,1.0,P,NJ,72.0,,FRM,,,N,1.0
1.02287925144E11,R,"WELLS FARGO BANK, N.A.",5.5,196000.0,360.0,01/2005,03/2005,80.0,80.0,2.0,54.0,702.0,N,R,SF,1.0,P,SC,296.0,,FRM,771.0,,N,1.0
1.02386652007E11,R,"WELLS FARGO BANK, N.A.",5.75,185000.0,360.0,12/2004,02/2005,80.0,94.0,1.0,29.0,786.0,N,P,PU,1.0,P,FL,347.0,,FRM,,,N,1.0
1.02395181091E11,C,"WELLS FARGO BANK, N.A.",5.5,287000.0,360.0,01/2005,03/2005,73.0,73.0,2.0,40.0,686.0,N,R,SF,1.0,P,MS,392.0,,FRM,,,N,1.0
1.02533768758E11,C,"WELLS FARGO BANK, N.A.",5.75,192000.0,360.0,12/2004,02/2005,75.0,75.0,2.0,30.0,761.0,N,P,PU,1.0,P,TX,773.0,,FRM,,,N,1.0
1.0261667465E11,C,"WELLS FARGO BANK, N.A.",4.5,139000.0,120.0,12/2004,02/2005,64.0,64.0,1.0,38.0,743.0,N,C,SF,1.0,P,IL,604.0,,FRM,,,N,1.0
1.02699886819E11,C,"WELLS FARGO BANK, N.A.",5.5,243000.0,360.0,01/2005,03/2005,70.0,70.0,2.0,29.0,772.0,N,C,PU,1.0,P,ID,834.0,,FRM,,,N,1.0
1.02728628609E11,R,"WELLS FARGO BANK, N.A.",6.0,111000.0,360.0,12/2004,02/2005,69.0,69.0,2.0,39.0,812.0,N,P,PU,1.0,P,NC,281.0,,FRM,805.0,,N,1.0
1.02764183016E11,C,"WELLS FARGO BANK, N.A.",5.625,86000.0,360.0,12/2004,02/2005,80.0,80.0,1.0,54.0,782.0,N,P,SF,1.0,P,IL,618.0,,FRM,,,N,1.0
1.02830119742E11,C,"WELLS FARGO BANK, N.A.",6.125,47000.0,240.0,02/2005,03/2005,71.0,71.0,1.0,44.0,662.0,N,R,SF,1.0,I,TN,372.0,,FRM,,,N,1.0
1.02830933659E11,C,"WELLS FARGO BANK, N.A.",5.875,299000.0,360.0,12/2004,02/2005,75.0,75.0,2.0,49.0,678.0,N,C,SF,1.0,P,GA,300.0,,FRM,,,N,1.0
